Standardized Precipitation Index - SPI: Campinas in the period from 01/01/1947 to 05/01/2011;;;;;;
Period;1 month;3 months;6 months;9 months;12 months;24 months
;;;;;;
year 1947;;;;;;
January;1.36;0.33;0.06;0.09;-0.29;0.33
February;1.39;0.90;0.80;0.77;0.29;0.62
March;0.57;1.43;0.87;0.88;0.58;0.62
April;-1.77;0.83;0.65;0.47;0.45;0.55
May;-0.08;-0.23;0.59;0.52;0.52;0.60
June;-0.18;-1.10;0.89;0.48;0.49;0.25
July;0.61;-0.17;0.55;0.50;0.34;0.30
August;1.16;0.61;0.07;0.63;0.57;0.45
September;0.65;0.94;0.00;1.08;0.66;0.55
October;-0.59;0.34;0.05;0.54;0.51;0.44
November;1.14;0.57;0.66;0.31;0.70;0.43
December;0.59;0.63;0.87;0.37;1.02;0.55
year 1948;;;;;;
January;-0.09;0.67;0.68;0.49;0.71;0.26
February;0.71;0.50;0.69;0.74;0.52;0.48
March;1.58;0.92;1.03;1.23;0.87;0.88
April;-1.72;0.98;0.96;1.01;0.84;0.81
May;0.09;0.75;0.66;0.82;0.85;0.86
June;-1.25;-1.48;0.37;0.57;0.77;0.79
July;1.03;-0.16;0.68;0.79;0.84;0.73
August;-0.52;-0.49;0.36;0.49;0.65;0.75
September;-1.25;-0.41;-1.37;0.16;0.39;0.65
October;-0.67;-1.46;-1.25;0.05;0.36;0.56
November;-1.39;-1.92;-1.81;-0.68;-0.09;0.40
December;-0.93;-1.83;-1.69;-2.07;-0.52;0.38
year 1949;;;;;;
January;-0.38;-1.35;-2.02;-1.84;-0.70;0.01
February;0.56;-0.39;-1.39;-1.42;-0.87;-0.21
March;-1.16;-0.34;-1.30;-1.47;-1.86;-0.47
April;0.75;0.02;-0.87;-1.45;-1.42;-0.27
May;-0.90;-0.86;-0.68;-1.50;-1.51;-0.32
June;0.26;-0.04;-0.33;-1.17;-1.32;-0.28
July;-1.04;-0.93;-0.37;-1.06;-1.60;-0.37
August;-1.00;-1.01;-1.12;-0.85;-1.64;-0.53
September;-1.58;-2.75;-1.13;-0.84;-1.55;-0.70
October;-0.63;-1.72;-2.00;-1.03;-1.46;-0.70
November;-0.24;-1.20;-1.49;-1.62;-1.18;-0.92
December;1.60;0.90;0.12;0.02;-0.20;-0.61
year 1950;;;;;;
January;-0.05;0.91;0.16;-0.18;-0.16;-0.62
February;1.35;1.40;0.86;0.54;0.14;-0.47
March;-0.11;0.56;0.89;0.44;0.34;-0.86
April;1.16;1.09;1.18;0.71;0.42;-0.59
May;-0.39;0.15;1.12;0.70;0.45;-0.62
June;0.15;0.35;0.53;0.83;0.44;-0.52
July;0.30;-0.32;0.72;0.96;0.53;-0.60
August;-1.00;-0.53;-0.14;0.91;0.52;-0.62
September;-1.08;-1.17;-0.43;0.18;0.53;-0.59
October;0.04;-0.94;-1.03;0.23;0.61;-0.50
November;0.88;0.06;-0.24;-0.15;0.79;-0.20
December;-0.73;-0.20;-0.62;-0.42;0.04;-0.19
year 1951;;;;;;
January;1.30;0.64;0.11;-0.06;0.47;0.18
February;0.10;0.31;0.24;0.05;0.05;0.08
March;1.06;1.03;0.71;0.37;0.40;0.44
April;-0.27;0.47;0.65;0.30;0.14;0.33
May;-1.48;0.19;0.27;0.22;0.07;0.31
June;-0.44;-1.31;0.50;0.30;0.00;0.26
July;-1.04;-1.87;-0.18;0.25;-0.09;0.26
August;0.31;-0.80;-0.19;0.08;0.03;0.33
September;-1.61;-1.16;-1.80;0.15;0.01;0.32
October;-0.68;-1.15;-2.06;-0.68;-0.11;0.32
November;0.90;-0.36;-0.70;-0.43;-0.09;0.47
December;-2.29;-1.36;-1.58;-1.92;-0.37;-0.31
year 1952;;;;;;
January;-0.25;-0.89;-1.45;-1.85;-1.03;-0.36
February;0.62;-0.77;-1.03;-1.17;-0.96;-0.59
March;0.52;0.31;-0.47;-0.82;-1.19;-0.46
April;-0.28;0.46;-0.32;-0.78;-1.14;-0.63
May;-1.24;-0.27;-0.74;-0.97;-1.09;-0.66
June;1.64;0.37;0.34;-0.32;-0.63;-0.43
July;-0.35;0.45;0.49;-0.20;-0.61;-0.47
August;-0.75;0.78;0.13;-0.48;-0.72;-0.46
September;-0.19;-0.81;-0.26;0.05;-0.54;-0.38
October;0.51;-0.13;0.08;0.29;-0.27;-0.31
November;-0.36;-0.15;0.20;-0.06;-0.52;-0.48
December;-0.65;-0.56;-0.81;-0.55;-0.18;-0.48
year 1953;;;;;;
January;-0.94;-1.13;-1.15;-0.86;-0.40;-1.01
February;-0.85;-1.22;-1.31;-0.93;-0.96;-1.26
March;-0.28;-1.03;-1.15;-1.43;-1.23;-1.55
